file_name,title,author,word_count,completeness,engine_role_v0
Project Mary Hail.pdf,,,150839,LIKELY_FULL,CORE_CANDIDATE
Dark Matter - Blake Crouch.pdf,,,88789,LIKELY_FULL,CORE_CANDIDATE
Recursion - Blake Crouch.pdf,,,90474,LIKELY_FULL,CORE_CANDIDATE
"Kappe Джон. Шпион, выйди вон! - royallib.com.fb2.zip","Шпион, выйди вон!",Джон Ле Kappe,122103,LIKELY_FULL,CORE_CANDIDATE
Uells_Marta_[Dnevniki_Killerbota]_Otkaz_vseh_sistem_(sbornik).zip,Отказ всех систем,Марта Уэллс,49578,COLLECTION_UNVERIFIED,CORE_CANDIDATE
Uells_Marta_[Dnevniki_Killerbota]_Kollaps_sistemyi_(sbornik).zip,Коллапс системы,Марта Уэллс,54915,COLLECTION_UNVERIFIED,CORE_CANDIDATE
Ballard_Djeyms_Vyisotka.zip,Высотка,Джеймс Грэм Баллард,37310,UNKNOWN_MEDIUM,CORE_CANDIDATE
Ballard_Djeyms_Golosa_vremeni_(sbornik).zip,Голоса времени,Джеймс Грэм Баллард,157965,COLLECTION_UNVERIFIED,CORE_CANDIDATE
125896156.zip,Дозоры: Ночной Дозор. Дневной Дозор. Сумеречный Дозор,Сергей Лукьяненко,28240,FRAGMENT_EXPLICIT,CORE_CANDIDATE
86793387.zip,Остаток дня,Кадзуо Исигуро,14698,FRAGMENT_EXPLICIT,CORE_CANDIDATE
67424097.zip,Не отпускай меня,Кадзуо Исигуро,19178,FRAGMENT_EXPLICIT,CORE_CANDIDATE
Dinniman_Mett_[Karl_–_Obhodchik_Podzemeliy#1]_Karl_–_obhodchik_podzemeliy.zip,Карл – обходчик подземелий,Мэтт Динниман,109944,LIKELY_FULL,ENGINE_CANDIDATE
storm-front-a-novel-of-the-dresden-files.pdf,,,86904,LIKELY_FULL,REVIEW
The Da Vinci Code.pdf,,,140471,LIKELY_FULL,ENGINE_CANDIDATE
Prokofev_R._Stellar._Zvezdnaya_Krov_8_Istinnyiyi.txt.zip,,,80799,LIKELY_FULL,ENGINE_CANDIDATE
red-rising-pierce-brown.pdf,,,125021,LIKELY_FULL,REVIEW
Rollins_Djeyms_[Otryad_Sigma#1]_Peschanyiy_Dyavol.zip,Песчаный дьявол,Джим Чайковски,145388,LIKELY_FULL,ENGINE_CANDIDATE
Rollins_Djeyms_[Otryad_Sigma#11]_Shestoe_vyimiranie.zip,Шестое вымирание,Джеймс Роллинс,111573,LIKELY_FULL,ENGINE_CANDIDATE
Bardugo Leigh. Ninth House - royallib.com.fb2.zip,Ninth House,Leigh Bardugo,141564,LIKELY_FULL,REVIEW
Verber_Bernar_[Saga_o_bogah#1]_Myi_bogi.zip,"Мы, боги",Бернар Вербер,86135,LIKELY_FULL,IDEA_LAB_CANDIDATE
126102172.zip,TRANSHUMANISM INC. (Трансгуманизм Inc.),Виктор Олегович Пелевин,9848,FRAGMENT_EXPLICIT,IDEA_LAB_CANDIDATE
60084890.zip,Чапаев и Пустота,Виктор Олегович Пелевин,9163,FRAGMENT_EXPLICIT,IDEA_LAB_CANDIDATE
anatomiya_istorii.zip,,,38,SCANNED_TEXT_UNAVAILABLE,CRAFT
